Question,Answer
I just found out I'm pregnant. When should I go for my first antenatal visit?,"Congratulations! You should go for your first antenatal visit as soon as possible, ideally before 16 weeks (4 months) of pregnancy. Early visits help detect problems early and ensure you and your baby stay healthy. Consult your midwife for personalized advice."
What tests will be done at my booking visit?,"Standard pregnancy tests include: blood tests (anemia, HIV, syphilis, Hepatitis B, blood group, sickling), urine tests, blood pressure, and ultrasound scans. These are free under NHIS. Tests help detect problems early for timely treatment."
How many antenatal visits should I attend during pregnancy?,"The Ghana Health Service recommends at least 4 ANC visits, but 8 visits is better for you and your baby. The schedule is: (1) First visit - as soon as you know you're pregnant, before 16 weeks. (2) Second visit - at 20-24 weeks (5-6 months). Consult your midwife for personalized advice."
What are the danger signs during pregnancy that require immediate medical attention?,"Seek immediate medical care for: heavy bleeding, severe headache with vision changes, convulsions/fits, severe abdominal pain, no fetal movement, water breaking before 37 weeks, high fever, or difficulty breathing. Call 112/193 for ambulance if needed. Don't delay - quick action saves lives."
Can I work on my farm during pregnancy?,"Yes, you can continue light farming work during pregnancy - moderate exercise is good for you and your baby. However, make changes to protect yourself. What you CAN do: light weeding, planting seeds, harvesting vegetables, feeding animals (avoid animal waste contact). Consult your midwife for personalized advice."
I'm taking iron tablets but they make me very constipated. What can I do?,"Take iron tablets as prescribed to prevent anemia. Take with vitamin C (orange juice) for better absorption, not with tea or milk. Constipation is a common side effect - drink plenty of water and eat high-fiber foods. Don't skip doses."
What traditional Ghanaian foods are good for pregnancy?,"Eat a balanced diet including: proteins (fish, beans, eggs, meat), vegetables (kontomire, garden eggs, okra), fruits, whole grains, and dairy. Drink plenty of water. Avoid raw/undercooked foods, excessive salt, and alcohol. Traditional Ghanaian soups and stews are nutritious choices."
How much water should I drink during pregnancy?,You should drink at least 10-12 cups (8-ounce cups) of water daily during pregnancy - that's about 2.5-3 liters. Your body needs more fluids because: (1) Your blood volume increases by 50% during pregnancy. (2) Baby needs fluids for amniotic fluid. Consult your midwife for personalized advice.
My eyes look very pale and I feel tired all the time. What's wrong?,"You likely have anemia (low blood/insufficient red blood cells). Anemia is very common - 63 out of 100 pregnant women in Ghana have it. Signs: pale eyes (conjunctiva), pale tongue, pale palms/nails, feeling very tired and weak, dizziness (especially standing), difficulty breathing, fast heartbeat, headaches, sometimes craving clay or ice. Consult your midwife for personalized advice."
How can I prevent malaria during pregnancy?,"Malaria is dangerous during pregnancy and can cause miscarriage, preterm birth, or low birth weight. Take your IPTp-SP preventive doses at ANC, sleep under treated mosquito nets, and seek treatment immediately if you have fever with chills. Prevention is key."
I'm 5 months pregnant with severe headache and blurred vision. What should I do?,"Go to the hospital IMMEDIATELY - this is an EMERGENCY. Severe headache with blurred vision can be pre-eclampsia, a very serious condition that can kill you and your baby. Other danger signs of pre-eclampsia: swelling of face and hands, upper stomach pain, seeing flashing lights/spots, severe dizziness. Consult your midwife for personalized advice."
What is the IPTp-SP medicine I receive at ANC and why is it important?,Always consult your healthcare provider before taking any medication during pregnancy. Some medicines are unsafe for your baby. Never self-medicate. Bring all medications to your ANC visit for review.
I tested positive for HIV during my ANC visit. Can I still have a healthy baby?,"With proper treatment, HIV-positive mothers can have healthy babies. Take your ARV medications as prescribed, attend all clinic appointments, and follow PMTCT guidelines. Your baby will be tested and may receive preventive treatment. Breastfeeding guidance depends on your situation."
What foods should I avoid during pregnancy?,"Eat a balanced diet including: proteins (fish, beans, eggs, meat), vegetables (kontomire, garden eggs, okra), fruits, whole grains, and dairy. Drink plenty of water. Avoid raw/undercooked foods, excessive salt, and alcohol. Traditional Ghanaian soups and stews are nutritious choices."
What are the signs that labor is starting?,"Signs labor is starting: regular contractions getting stronger and closer together, water breaking (clear fluid gush or trickle), bloody show (mucus with blood), and lower back pain. Go to the hospital when contractions are 5 minutes apart lasting 1 minute each, or immediately if water breaks."
How will I know when to go to the hospital for delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What happens during normal vaginal delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What is cesarean section and when is it needed?,"Cesarean section may be recommended for various reasons: baby's position, placenta problems, previous cesareans, or certain health conditions. It's a safe procedure when needed. Discuss the reasons with your doctor. Recovery takes longer than vaginal birth but most women heal well."
Can I have a birth companion with me during labor and delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What is AMTSL and why is it important after delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What are the danger signs after delivery that require immediate medical attention?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
How long should I wait before resuming sexual activity after delivery?,"Your mode of delivery depends on your health, baby's position, and any complications. Most healthy pregnancies result in normal vaginal delivery. Discuss your birth plan with your midwife, but stay flexible as circumstances may change. Prepare for delivery by knowing the signs of labor."
What is normal postpartum bleeding (lochia) and when should I be concerned?,"Lochia is normal vaginal discharge/bleeding after delivery. Every woman has it as your womb heals. Normal pattern: (1) First 1-3 days (Lochia rubra): Heavy, bright red bleeding like heavy menstrual period. Consult your midwife for personalized advice."
How do I care for my C-section wound?,"Proper C-section wound care prevents infection and helps healing. Your C-section wound has two parts: internal stitches (dissolve on their own) and external closure (stitches or staples, usually removed 5-7 days after surgery). DAILY CARE: (1) Keep wound clean and DRY. Consult your midwife for personalized advice."
When should I start breastfeeding my baby?,"Breastfeeding is best for your baby. Start within the first hour after birth. Feed on demand, usually 8-12 times daily. Ensure proper latch - baby's mouth should cover the areola, not just the nipple. Seek help from your midwife if you have difficulties."
How do I know if my baby is latching properly for breastfeeding?,"Breastfeeding is best for your baby. Start within the first hour after birth. Feed on demand, usually 8-12 times daily. Ensure proper latch - baby's mouth should cover the areola, not just the nipple. Seek help from your midwife if you have difficulties."
Should I give my baby water in addition to breast milk?,"NO! Your baby does NOT need water until 6 months old. Exclusive breastfeeding means ONLY breast milk - no water, no gripe water, no herbal tea, no formula, no glucose water, nothing else. Consult your midwife for personalized advice."
"My breasts are very full, hard, and painful. What should I do?","You have breast engorgement - very common around day 3-5 after delivery when milk 'comes in' in larger quantities. Breasts become overfull, hard, hot, shiny, painful. Baby may have difficulty latching onto hard breast. Consult your midwife for personalized advice."
How can I increase my breast milk supply?,"Most women produce enough milk, but here's how to increase supply if truly low: (1) Breastfeed more frequently - milk production works on supply and demand. More baby sucks = more milk produced. Feed at least 8-12 times per 24 hours. Consult your midwife for personalized advice."
How do I care for my newborn's umbilical cord stump?,Proper cord care prevents serious infection (omphalitis) that can kill newborns. SAFE CORD CARE PRACTICE: (1) Keep cord DRY and CLEAN at all times. (2) Fold diaper below cord so it doesn't rub or get wet with urine. Consult your midwife for personalized advice.
When should my baby receive immunizations?,Follow Ghana's Expanded Program on Immunization (EPI) schedule closely. Vaccines are FREE at all health facilities. AT BIRTH (within 24 hours): (1) BCG vaccine (against tuberculosis) - single dose in left upper arm. Consult your midwife for personalized advice.
